activity_id,date,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,cadence,stride_length_cm,vertical_oscillation,ground_contact_time,elevation_gain,elevation_loss,aerobic_te,anaerobic_te,vo2_max,calories,workload,acute,chronic,acwr
21442776897,2026-01-04 18:03:56,walking,4.01,35.89,8.95,127.0,163.0,0,90.5,0.0,0.0,68.61846923828125,72.6756591796875,2.0999999046325684,0.0,49.0,277.0,5.0927,5.0927,5.0927,1.0
21498245452,2026-01-10 08:07:27,walking,8.38,77.27,9.22,130.0,155.0,0,88.7,0.0,0.0,159.82318115234375,153.02813720703125,2.4000000953674316,0.0,49.0,573.0,10.894000000000002,7.993350000000001,7.993350000000001,1.0
21565196813,2026-01-16 13:49:29,walking,7.0,68.83,9.83,125.0,152.0,0,86.6,0.0,0.0,129.37481689453125,126.64227294921875,2.0999999046325684,0.0,49.0,467.0,8.75,8.245566666666667,8.245566666666667,1.0
21572607961,2026-01-17 08:50:59,walking,10.01,94.68,9.46,122.0,155.0,0,87.6,0.0,0.0,198.7777099609375,203.19830322265625,2.4000000953674316,0.0,48.0,653.0,12.2122,9.237225,9.237225,1.0
21597399178,2026-01-19 16:09:40,other,0.0,40.2,0.0,90.0,124.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,148.0,0.0,7.38978,7.38978,1.0
21598056625,2026-01-19 17:04:54,other,0.0,54.4,0.0,138.0,176.0,0,0.0,0.0,0.0,0.0,0.0,3.0999999046325684,2.5,0.0,493.0,0.0,6.15815,6.15815,1.0
21608457230,2026-01-20 16:01:45,other,0.0,46.45,0.0,87.0,111.0,0,0.0,0.0,0.0,0.0,0.0,0.30000001192092896,0.0,0.0,155.0,0.0,5.278414285714286,5.278414285714286,1.0
21615761634,2026-01-21 08:16:33,other,0.0,53.08,0.0,97.0,132.0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,221.0,0.0,4.550885714285714,4.6186125,0.9853361186472591
21639740891,2026-01-23 14:58:35,walking,5.02,47.77,9.52,118.0,152.0,0,89.8,0.0,0.0,74.41107177734375,86.348876953125,2.0,0.0,48.0,319.0,5.9235999999999995,3.8408285714285713,4.7636111111111115,0.806285081179244
21645964163,2026-01-24 08:44:49,breathwork,0.0,4.33,0.0,58.0,65.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5908285714285713,4.28725,0.6043101222062094
21646504996,2026-01-24 09:07:50,walking,9.01,83.86,9.31,123.0,165.0,0,89.5,0.0,0.0,152.8404541015625,162.5506591796875,2.799999952316284,0.0,49.0,603.0,11.0823,2.429414285714286,4.9049818181818186,0.4952952683145363
21716882358,2026-01-31 08:40:34,walking,9.01,72.29,8.02,147.0,181.0,0,94.9,0.0,0.0,176.620849609375,179.646240234375,3.700000047683716,0.0,48.0,701.0,13.2447,4.321514285714286,5.599958333333333,0.7717047214424427
21747491919,2026-02-03 07:38:04,indoor_running,5.01,28.16,5.62,158.0,183.0,0,115.7,10.25999984741211,282.5,0.0,0.0,3.700000047683716,1.2999999523162842,0.0,337.0,7.9158,5.452342857142858,5.7781,0.9436221001960605
21758374765,2026-02-04 07:31:46,indoor_running,5.01,27.37,5.46,168.0,180.0,0,118.2,10.36999969482422,279.8999938964844,0.0,0.0,3.9000000953674316,0.10000000149011612,0.0,362.0,8.416799999999999,6.654742857142857,5.966578571428571,1.1153364993816748
21782553174,2026-02-06 15:00:33,running,5.01,30.05,6.0,162.0,183.0,0,104.8,9.480000305175782,277.5,80.51885986328125,97.5,3.700000047683716,0.0,49.0,378.0,8.116200000000001,7.8142,6.109886666666667,1.2789435265029465
21782595603,2026-02-06 15:33:36,running,0.36,2.41,6.69,150.0,157.0,0,95.8,8.9,279.8999938964844,11.36199951171875,0.0,0.699999988079071,0.0,0.0,28.0,0.54,7.045114285714285,5.76176875,1.2227346482300743
21789003542,2026-02-07 08:21:25,walking,3.51,33.05,9.42,127.0,146.0,0,88.0,0.0,0.0,123.3577880859375,0.0,2.0,0.0,49.0,265.0,4.4577,7.681928571428571,5.6850588235294115,1.351248739878378
21789135770,2026-02-07 08:54:52,running,5.01,28.65,5.72,163.0,174.0,0,110.0,9.490000152587891,267.79998779296875,46.212127685546875,200.13851928710938,3.5,0.0,49.0,362.0,8.1663,7.265357142857142,5.822905555555555,1.2477202443933448
21789202304,2026-02-07 09:25:42,walking,0.78,11.76,15.08,118.0,138.0,0,74.5,0.0,0.0,13.89520263671875,1.47393798828125,0.5,0.0,49.0,70.0,0.9204,5.504742857142857,5.56487894736842,0.9891936391079987
21814987272,2026-02-09 18:25:09,running,6.15,37.07,6.03,164.0,178.0,0,103.6,9.4,277.1000061035156,128.55780029296875,142.63763427734375,3.799999952316284,0.0,49.0,467.0,10.086,5.8147714285714285,5.790935,1.0041161623419066
21824691125,2026-02-10 16:22:42,running,6.01,32.7,5.44,171.0,178.0,0,112.9,9.700000000000001,265.3999938964844,66.17546272277832,69.51826858520508,4.0,0.0,49.0,433.0,10.277099999999999,6.080528571428572,6.004561904761904,1.0126514919608745
